date,title,id,views,subs,videoCount
2021-05-25,INFORMATION WARFARE,UCUbCBA3uLH49uOeKBA9zQ3A,10508.0,32.0,32.0
2021-05-25,Carl Vernon,UC7rlvlj-jumO7LrXpP-8NZQ,24394185.0,72500.0,905.0
2021-05-25,CrowderBits,UCMAtX9eFBpwc4LtgvbqsOpQ,229034515.0,954000.0,1053.0
2021-05-25,Tate Chasers,UChS7p2emhoFlyDSthDk7PWA,570098.0,2030.0,82.0
2021-05-25,Reverend Simon Sideways,UCfDcxQbCSGqaBYuwNzzM4Sw,1870568.0,32800.0,146.0
2021-05-25,TFIglobal,UCZz8q2tZC7QuQiFwPKQ4Bug,153060552.0,336000.0,1109.0
2021-05-25,David Mongielo,UCAmLN5U6ndPgEcc4XpMBdxg,217890.0,495.0,173.0
2021-05-25,Petrified News,UCnCJI5CILRrdK24R48H2r6w,52074.0,398.0,110.0
2021-05-25,Victory Entertainment,UCEMLBAiyLY4tCUxQ9OJaBlA,134069.0,1600.0,189.0
2021-05-25,WE GOT A PROBLEM,UCLWT1NTlgP7CCs4ZNNpe5AQ,82049811.0,160000.0,1230.0
2021-05-25,Lightbeamer 2,UCUyIdrYUJt036l00tkHfx0w,351319.0,3680.0,53.0
2021-05-25,Mr.Sauceman X,UCYpe0dPGgAW70SWBECOeM4A,530371.0,2590.0,365.0
2021-05-25,Veritas TV,UCzAKaxOOeD8MnZ4_LitjWpA,10176628.0,95900.0,1467.0
2021-05-25,China Uncensored,UCgFP46yVT-GG4o1TgXn-04Q,354388993.0,1600000.0,1443.0
2021-05-25,The Pholosopher,UCT5KWZpslhrYKBhdCUUzr1Q,943235.0,28100.0,199.0
2021-05-25,Unidentified - Whistleblower,UCAyKDaEmdk3MAv14P3X_-tw,1015.0,70.0,11.0
2021-05-25,Dr. Steve Turley,UCCsiAKRKcgzA_372WbXNBaw,226939440.0,747000.0,2097.0
2021-05-25,John Talks,UCUZAUoL2_bd9cR8R5T_iSlQ,61984075.0,116000.0,1194.0
2021-05-25,Body Language Ghost,UC7n8r27jRnjpYpfyEfBOLFw,28845441.0,-1.0,219.0
2021-05-25,Odair Del Pozzo,UCXA6RQ5Je4HiagqAPpuX1sw,8682655.0,94500.0,511.0
2021-05-25,Daniel Silveira - Deputado Federal,UCXwAKQLIE7lTs21VJ1oSBhA,1935426.0,73100.0,361.0
2021-05-25,Augusto Almeida,UCKNsAq3tNpbvATnAbK3nwDA,3137207.0,23900.0,1090.0
2021-05-25,1822jornal,UCl4GlGXR0ED6AUJU1kRhRzQ,434970.0,20400.0,0.0
2021-05-25,Novo Brasil Notícias,UCXqTpcsO4kgwk5K5v76Ushw,57463.0,830.0,723.0
2021-05-25,Os Pingos nos Is,UCzjtGnD7qqeaHW3nvDVrjQA,1309531163.0,3360000.0,6394.0
2021-05-25,Arthur Weintraub,UCmnSD245HC6yT_ABIIfEcNQ,474673.0,38400.0,82.0
2021-05-25,Jair Bolsonaro,UC8hGUtfEgvvnp6IaHSAg1OQ,233081005.0,3390000.0,2822.0
2021-05-25,EDUARDO BOLSONARO,UCkR6xPOHhpjq3wnFchVI4sg,68397885.0,848000.0,1665.0
2021-05-25,Flavio Bolsonaro,UCl2HptoHv6PjZMQAwTdA--Q,25241055.0,314000.0,1531.0
2021-05-25,Carlos Bolsonaro,UCBrntWupyTRnnsRy3dA4VdA,50686910.0,296000.0,1242.0
2021-05-25,Carla Zambelli,UCX9VzlP1DyeasSivEr9Eddw,41146115.0,455000.0,2649.0
2021-05-25,What's going on?,UCIQWl7Vsw2BkNF3IDp7W_sg,9453.0,138.0,21.0
